"Students Sets","Subject","Teachers","Total Duration"
"TS_1_A","ST013 - Língua Inglesa I","Juliana da Silva Passos ","4"
"TS_1_A","ST014 - Língua Espanhola I","Valéria Verônica Quiroga","4"
"TS_1_B","ST013 - Língua Inglesa I","Prila Leliza Calado","4"
"TS_1_B","ST014 - Língua Espanhola I","Lidia Beatriz Selmo de Foti","4"
"TS_3_A","ST033 - Lingua Inglesa III","Prila Leliza Calado","4"
"TS_3_A","ST034 - Língua Espanhola III","Valéria Verônica Quiroga","4"
"TS_3_A","ST801 - Estudo do Trabalho em Secretariado","Fernanda Landolfi Maia","2"
"TS_3_A","optativa a definir","Maria Valéria da Costa","2"
"TS_3_B","ST033 - Lingua Inglesa III","Juliana da Silva Passos ","4"
"TS_3_B","ST034 - Língua Espanhola III","Lidia Beatriz Selmo de Foti","4"
"TS_3_C+TS_5_C","optativa a definir","Prof. Substituto TS","2"
"TS_5_A","ST053 - Lingua Inglesa V","Prila Leliza Calado","4"
"TS_5_A","ST054 - Lingua espanhola V","Lilian dos Santos Silva Ribeiro","4"
"TS_5_A","ST845 - Lingua Francesa I","Maria Estela dos Santos Lima","4"
"TS_5_B","ST053 - Lingua Inglesa V","Juliana da Silva Passos ","4"
"TS_5_B","ST054 - Lingua espanhola V","Lidia Beatriz Selmo de Foti","4"
"TS_5_B","ST835 - Língua Alemã I","Jorge José de Oliveira","4"
"TS_5_C","optativa a definir","Prof. Substituto TS","2"
